
Fri, 03 Jun 2016 17:18:50

{u'y': -2.0, u'x': 302.38, u'z': 87.62, u't': 1464967141328}
{u'y': -2.38, u'x': 300.56, u'z': 86.12, u't': 1464967141383}
{u'y': -2.25, u'x': 299.06, u'z': 85.69, u't': 1464967141437}
{u'y': -2.88, u'x': 297.81, u'z': 85.94, u't': 1464967141492}
{u'y': -3.94, u'x': 296.13, u'z': 86.87, u't': 1464967141548}
{u'y': -4.69, u'x': 294.63, u'z': 88.94, u't': 1464967141604}
{u'y': -6.06, u'x': 291.94, u'z': 88.94, u't': 1464967141660}
{u'y': -6.94, u'x': 290.06, u'z': 88.19, u't': 1464967141717}
{u'y': -7.81, u'x': 288.75, u'z': 88.19, u't': 1464967141772}
{u'y': -8.75, u'x': 287.75, u'z': 88.06, u't': 1464967141826}
{u'y': -8.94, u'x': 287.88, u'z': 88.19, u't': 1464967141881}
{u'y': -9.06, u'x': 288.19, u'z': 88.5, u't': 1464967141935}
{u'y': -9.38, u'x': 288.56, u'z': 89.31, u't': 1464967141991}
{u'y': -9.19, u'x': 289.88, u'z': 90.56, u't': 1464967142047}
{u'y': -8.75, u'x': 291.44, u'z': 92.12, u't': 1464967142102}
{u'y': -8.69, u'x': 292.94, u'z': 93.75, u't': 1464967142159}
{u'y': -8.31, u'x': 295.44, u'z': 93.94, u't': 1464967142215}
{u'y': -7.31, u'x': 299.19, u'z': 93.62, u't': 1464967142270}
{u'y': -6.25, u'x': 302.25, u'z': 93.37, u't': 1464967142325}
{u'y': -5.5, u'x': 304.56, u'z': 93.12, u't': 1464967142380}
{u'y': -5.19, u'x': 305.81, u'z': 93.5, u't': 1464967142435}
{u'y': -4.63, u'x': 306.88, u'z': 94.25, u't': 1464967142490}
{u'y': -4.25, u'x': 306.88, u'z': 94.12, u't': 1464967142545}
{u'y': -4.69, u'x': 305.25, u'z': 92.5, u't': 1464967142601}
{u'y': -5.38, u'x': 301.81, u'z': 92.81, u't': 1464967142657}
{u'y': -5.69, u'x': 298.25, u'z': 92.06, u't': 1464967142712}
{u'y': -5.94, u'x': 294.44, u'z': 91.31, u't': 1464967142769}
{u'y': -6.25, u'x': 290.75, u'z': 91.5, u't': 1464967142824}
{u'y': -6.75, u'x': 288.31, u'z': 90.12, u't': 1464967142879}
{u'y': -7.19, u'x': 286.56, u'z': 90.0, u't': 1464967142934}
{u'y': -7.81, u'x': 284.81, u'z': 88.94, u't': 1464967142988}
{u'y': -8.69, u'x': 282.75, u'z': 88.44, u't': 1464967143043}
{u'y': -9.5, u'x': 281.56, u'z': 87.87, u't': 1464967143099}
{u'y': -10.13, u'x': 281.0, u'z': 88.5, u't': 1464967143154}
{u'y': -10.63, u'x': 280.88, u'z': 88.56, u't': 1464967143211}
{u'y': -11.0, u'x': 281.0, u'z': 87.87, u't': 1464967143267}
{u'y': -11.38, u'x': 281.0, u'z': 87.75, u't': 1464967143323}
{u'y': -11.63, u'x': 281.13, u'z': 87.62, u't': 1464967143378}
{u'y': -11.75, u'x': 281.69, u'z': 87.87, u't': 1464967143433}
{u'y': -12.06, u'x': 282.19, u'z': 87.87, u't': 1464967143488}
{u'y': -11.69, u'x': 283.94, u'z': 88.25, u't': 1464967143542}
{u'y': -11.81, u'x': 285.38, u'z': 88.56, u't': 1464967143597}
{u'y': -12.13, u'x': 286.44, u'z': 89.31, u't': 1464967143653}
{u'y': -12.13, u'x': 287.88, u'z': 89.81, u't': 1464967143710}
